+33;+90;0;-33;-90;180;+60;-60;+20;-20;stop;forward;backward;left;right;
0.162917;0.137824;0.398859;0.414992;0.544301;0.395063;0.113868;0.605561;0.272327;0.3661;0;1;0;0;0;
0.147104;0.147391;0.352933;0.399139;0.577886;0.407932;0.0887317;0.575093;0.297212;0.373679;0;1;0;0;0;
0.167581;0.109235;0.353885;0.31462;0.601597;0.433479;0.0828847;0.563031;0.251805;0.338832;0;1;0;0;0;
0.147439;0.114544;0.322269;0.298239;0.57998;0.44377;0.0749359;0.522383;0.269664;0.265583;0;1;0;0;0;
0.141212;0.108988;0.292639;0.295734;0.598262;0.456008;0.0631465;0.425634;0.268842;0.283665;0;1;0;0;0;
0.140502;0.125359;0.235852;0.27117;0.608186;0.493584;0.0787992;0.414199;0.25254;0.226245;0;0;0;0;1;
0.126674;0.0772328;0.264486;0.238943;0.558328;0.493834;0.067768;0.476344;0.278058;0.22337;0;0;0;0;1;
0.200458;0.104674;0.244568;0.283071;0.574197;0.483102;0.127739;0.594229;0.276753;0.260677;0;0;0;0;1;
0.237761;0.119031;0.227253;0.312235;0.56901;0.486277;0.110472;0.625452;0.226031;0.251505;0;0;0;0;1;
0.267623;0.12358;0.235598;0.382994;0.617831;0.495789;0.141006;0.613642;0.227686;0.247225;0;0;0;0;1;
0.233359;0.095705;0.254316;0.422254;0.380085;0.44331;0.156888;0.59634;0.215696;0.316068;0;0;0;0;1;
0.22146;0.133273;0.286375;0.522304;0.219192;0.295742;0.23235;0.554182;0.222382;0.340796;0;0;0;0;1;
0.249998;0.140303;0.273253;0.635461;0.18144;0.211465;0.238445;0.533423;0.233966;0.346104;0;0;0;0;1;
0.240221;0.114046;0.316927;0.588702;0.139108;0.195786;0.267222;0.566056;0.271385;0.445234;0;0;0;0;1;
0.226634;0.131208;0.348878;0.568699;0.869266;0.146574;0.259496;0.568273;0.268036;0.535603;0;0;0;0;1;
0.250056;0.143695;0.407866;0.55792;0.794299;0.129224;0.291195;0.388132;0.281583;0.636164;0;0;0;0;1;
0.273165;0.230047;0.495465;0.534956;0.693242;0.108079;0.243637;0.248347;0.357649;0.609861;0;0;0;0;1;
0.265329;0.269604;0.557714;0.552436;0.650379;0.0721764;0.2569;0.206482;0.372919;0.560425;0;1;0;0;0;
0.261099;0.309749;0.546983;0.495794;0.66231;0.0974892;0.223364;0.234955;0.349154;0.539639;0;1;0;0;0;
0.223008;0.294592;0.528321;0.48599;0.701425;0.141439;0.252283;0.254857;0.324299;0.475029;0;1;0;0;0;
0.22551;0.268209;0.463816;0.46344;0.114449;0.13834;0.214388;0.295479;0.306346;0.49753;0;1;0;0;0;
0.197987;0.257355;0.477766;0.435334;0.136118;0.180988;0.226181;0.318963;0.275207;0.476847;0;1;0;0;0;
0.197518;0.232466;0.440388;0.43164;0.153836;0.241088;0.178842;0.339672;0.282881;0.408;0;0;0;0;1;
0.219353;0.265406;0.440413;0.382435;0.150392;0.20729;0.183751;0.294174;0.291601;0.425431;0;0;0;0;1;
0.266004;0.245489;0.450825;0.41039;0.164785;0.154561;0.202257;0.233463;0.397573;0.436966;0;0;0;0;1;
0.278461;0.19792;0.426507;0.420933;0.1235;0.170377;0.211558;0.188844;0.454943;0.399033;0;0;0;0;1;
