+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.248687;0.143731;0.247323;0.425922;0.332656;0.537372;0;1;0;0;0;
0.222797;0.155905;0.231204;0.375199;0.42211;0.567114;0;1;0;0;0;
0.193396;0.162745;0.186821;0.34697;0.497803;0.594727;0;0;0;0;1;
0.173951;0.170002;0.210537;0.403758;0.361605;0.412762;0;0;0;0;1;
0.178647;0.181865;0.218799;0.52488;0.27597;0.322128;0;0;0;0;1;
0.18194;0.202222;0.258574;0.531554;0.222862;0.247841;0;0;0;0;1;
0.179742;0.215429;0.2775;0.511046;0.184766;0.210325;0;0;0;0;1;
0.197278;0.261679;0.318832;0.49599;0.172148;0.170678;0;0;0;0;1;
0.208192;0.298411;0.387109;0.471739;0.148847;0.145783;0;1;0;0;0;
0.19126;0.285941;0.355788;0.45928;0.163565;0.165749;0;1;0;0;0;
0.178199;0.253018;0.337987;0.435217;0.19871;0.204028;0;1;0;0;0;
0.155819;0.236654;0.305667;0.406187;0.20201;0.224169;0;1;0;0;0;
0.129553;0.211714;0.274778;0.380625;0.230745;0.269743;0;1;0;0;0;
0.12104;0.199859;0.25183;0.36922;0.258145;0.290778;0;0;0;0;1;
0.131115;0.171006;0.305854;0.350887;0.233566;0.269442;0;0;0;0;1;
0.149248;0.16388;0.412386;0.363628;0.213246;0.245486;0;0;0;0;1;
0.165288;0.16058;0.379693;0.378377;0.205492;0.231531;0;0;0;0;1;
0.207479;0.156096;0.374763;0.38864;0.191711;0.21453;0;0;0;0;1;
0.244738;0.137206;0.360267;0.420194;0.193956;0.2194;0;1;0;0;0;
0.236878;0.137703;0.321787;0.377736;0.203783;0.249963;0;1;0;0;0;
0.226685;0.132617;0.296354;0.336661;0.187913;0.265554;0;1;0;0;0;
0.236169;0.130854;0.274184;0.321379;0.198195;0.292315;0;0;0;0;1;
0.292731;0.12782;0.273654;0.335083;0.200821;0.300259;0;0;0;0;1;
0.305984;0.13886;0.266253;0.334639;0.196518;0.300779;0;1;0;0;0;
