+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.469;0.479;0.389;0.405;0.037;0.161;0;1;0;0;0;
0.469;0.133;0.317;0.322;0.049;0.227;0;1;0;0;0;
0.469;0.136;0.315;0.340;0.050;0.225;0;1;0;0;0;
0.469;0.123;0.291;0.303;0.052;0.257;0;1;0;0;0;
0.469;0.121;0.289;0.289;0.054;0.269;0;1;0;0;0;
0.469;0.119;0.267;0.279;0.053;0.294;0;1;0;0;0;
0.469;0.115;0.248;0.250;0.059;0.310;0;1;0;0;0;
0.469;0.100;0.165;0.172;0.439;0.381;0;0;0;0;1;
0.469;0.099;0.164;0.177;0.409;0.378;0;0;0;0;1;
0.469;0.093;0.168;0.179;0.252;0.369;0;0;0;0;1;
0.469;0.084;0.166;0.240;0.091;0.384;0;1;0;0;0;
0.469;0.078;0.169;0.236;0.089;0.382;0;1;0;0;0;
0.469;0.089;0.129;0.188;0.126;0.417;0;0;0;0;1;
0.469;0.091;0.123;0.190;0.120;0.418;0;0;0;0;1;
0.469;0.091;0.134;0.243;0.088;0.454;0;0;0;0;1;
0.469;0.092;0.141;0.259;0.099;0.461;0;0;0;0;1;
0.469;0.115;0.180;0.420;0.131;0.133;0;1;0;0;0;
0.469;0.114;0.180;0.408;0.132;0.131;0;1;0;0;0;
0.469;0.164;0.120;0.350;0.085;0.197;0;0;0;0;1;
0.469;0.164;0.124;0.361;0.086;0.191;0;0;0;0;1;
0.469;0.169;0.125;0.368;0.100;0.153;0;0;0;0;1;
0.469;0.190;0.170;0.372;0.127;0.105;0;0;0;0;1;
0.469;0.184;0.192;0.357;0.186;0.081;0;0;0;0;1;
0.469;0.121;0.379;0.381;0.418;0.048;0;1;0;0;0;
0.469;0.123;0.381;0.380;0.443;0.048;0;1;0;0;0;
0.469;0.118;0.362;0.363;0.377;0.072;0;1;0;0;0;
0.469;0.113;0.367;0.353;0.276;0.088;0;1;0;0;0;
0.469;0.107;0.349;0.329;0.224;0.115;0;1;0;0;0;
0.469;0.085;0.286;0.261;0.050;0.179;0;0;0;0;1;
0.469;0.078;0.259;0.253;0.043;0.180;0;0;0;0;1;
0.469;0.055;0.233;0.286;0.274;0.178;0;1;0;0;0;
0.469;0.058;0.230;0.274;0.255;0.175;0;1;0;0;0;
0.469;0.057;0.223;0.269;0.167;0.196;0;1;0;0;0;
0.469;0.054;0.163;0.206;0.558;0.251;0;0;0;0;1;
0.469;0.055;0.164;0.205;0.579;0.250;0;0;0;0;1;
0.469;0.053;0.167;0.239;0.101;0.255;0;0;0;0;1;
0.469;0.048;0.181;0.278;0.069;0.262;0;1;0;0;0;
0.469;0.051;0.176;0.279;0.068;0.263;0;1;0;0;0;
0.469;0.051;0.180;0.261;0.080;0.282;0;1;0;0;0;
0.469;0.070;0.096;0.168;0.393;0.342;0;0;0;0;1;
0.469;0.072;0.091;0.165;0.387;0.346;0;0;0;0;1;
0.469;0.074;0.114;0.252;0.159;0.178;0;1;0;0;0;
0.469;0.077;0.115;0.253;0.161;0.176;0;1;0;0;0;
0.469;0.105;0.056;0.164;0.274;0.243;0;0;0;0;1;
0.469;0.108;0.055;0.167;0.265;0.225;0;0;0;0;1;
0.469;0.110;0.055;0.194;0.230;0.180;0;0;0;0;1;
0.469;0.121;0.063;0.289;0.171;0.114;0;0;0;0;1;
0.469;0.121;0.153;0.520;0.186;0.033;0;1;0;0;0;
0.469;0.122;0.152;0.515;0.175;0.038;0;1;0;0;0;
0.469;0.092;0.112;0.484;0.156;0.083;0;0;0;0;1;
0.469;0.085;0.107;0.467;0.155;0.086;0;0;0;0;1;
0.469;0.066;0.168;0.487;0.185;0.056;0;0;0;0;1;
0.469;0.058;0.204;0.492;0.231;0.055;0;0;0;0;1;
0.469;0.034;0.470;0.395;0.510;0.036;0;1;0;0;0;
0.469;0.030;0.493;0.394;0.507;0.035;0;1;0;0;0;
0.469;0.025;0.420;0.400;0.343;0.097;0;0;0;0;1;
0.469;0.027;0.411;0.397;0.325;0.099;0;0;0;0;1;
0.469;0.026;0.428;0.240;0.529;0.095;0;1;0;0;0;
0.469;0.025;0.436;0.244;0.516;0.094;0;1;0;0;0;
0.469;0.026;0.432;0.241;0.503;0.109;0;1;0;0;0;
0.469;0.025;0.397;0.241;0.515;0.128;0;1;0;0;0;
